"Article","Domain","FileTitle","License","Artist","DescriptionUrl","SourceUrl","RemoteSha1","ManifestSha1","CachePath","Bytes","VerifiedUtc","Decision"
"Bicycle maintenance","Engineering","File:Bicycle chain breaker removing chain pin from 8-speed chain.jpg","CC0","JaredMcKenzie","https://commons.wikimedia.org/wiki/File:Bicycle_chain_breaker_removing_chain_pin_from_8-speed_chain.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bicycle%20chain%20breaker%20removing%20chain%20pin%20from%208-speed%20chain.jpg","a966a9532f5d697e7ed2957a932acfe8d4be46b2","a966a9532f5d697e7ed2957a932acfe8d4be46b2","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/a/1/1/7/Bicycle_chain_breaker_removing_chain_pin_from_8-speed_chain.jpg","1667384","2026-08-10T18:52:02.1311836Z","INCLUDE"
"Wound","Medicine","File:Bicycle injury - Hand Abrasion, Day 1.jpg","CC BY-SA 2.0","Doug Beckers from Cardiff NSW, Australia","https://commons.wikimedia.org/wiki/File:Bicycle_injury_-_Hand_Abrasion,_Day_1.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Bicycle_injury_-_Hand_Abrasion%2C_Day_1.jpg/1920px-Bicycle_injury_-_Hand_Abrasion%2C_Day_1.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","f188b6e486f985cc7b1c2bbab581e2a7c4984100","f188b6e486f985cc7b1c2bbab581e2a7c4984100","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/0/6/7/d/Bicycle_injury_-_Hand_Abrasion,_Day_1.jpg","500218","2026-08-10T18:51:39.8342931Z","INCLUDE"
"Ultrasound","Medicine","File:Big-eared-townsend-fledermaus.jpg","Public domain","PD-USGov, exact author unknown","https://commons.wikimedia.org/wiki/File:Big-eared-townsend-fledermaus.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Big-eared-townsend-fledermaus.jpg","bcbd0ccacf6890268da96b58c1787c36b1e12339","bcbd0ccacf6890268da96b58c1787c36b1e12339","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/7/7/a/7/Big-eared-townsend-fledermaus.jpg","50095","2026-08-10T18:52:02.1311836Z","INCLUDE"
"Spider bite","Medicine","File:Black Wishbone.jpg","CC BY-SA 2.5","","https://commons.wikimedia.org/wiki/File:Black_Wishbone.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Black%20Wishbone.jpg","c046e7ad3bdc55d6751db50c297ebc48ab185268","c046e7ad3bdc55d6751db50c297ebc48ab185268","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/c/6/a/d/Black_Wishbone.jpg","75959","2026-08-10T18:52:02.1291766Z","EXCLUDE_MISSING_CREDIT"
"Abscess","Medicine","File:Blausen 0007 Abscess.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 .","https://commons.wikimedia.org/wiki/File:Blausen_0007_Abscess.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/Blausen%200007%20Abscess.png","2b0e03faadd1d97ad946c7306206e55b470b7295","2b0e03faadd1d97ad946c7306206e55b470b7295","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/5/a/a/3/Blausen_0007_Abscess.png","1377064","2026-08-10T18:52:00.8470107Z","INCLUDE"
"Human brain","Medicine","File:Blausen 0216 CerebrospinalSystem.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 .","https://commons.wikimedia.org/wiki/File:Blausen_0216_CerebrospinalSystem.png","https://upload.wikimedia.org/wikipedia/commons/9/91/Blausen_0216_CerebrospinalSystem.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","ba2636c1ee2a07078651cb3f62af6561a1e9a7f4","ba2636c1ee2a07078651cb3f62af6561a1e9a7f4","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/9/1/9/7/Blausen_0216_CerebrospinalSystem.png","584611","2026-08-10T18:51:37.7602162Z","INCLUDE"
"Bone fracture","Medicine","File:Blausen 0250 CompressionFracture Vertebrae.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 . Also modified by Mikael Häggström , MD","https://commons.wikimedia.org/wiki/File:Blausen_0250_CompressionFracture_Vertebrae.png","https://upload.wikimedia.org/wikipedia/commons/1/17/Blausen_0250_CompressionFracture_Vertebrae.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","417ec14a633bd7d4baebcb62e668498ea627b428","417ec14a633bd7d4baebcb62e668498ea627b428","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/7/6/a/Blausen_0250_CompressionFracture_Vertebrae.png","200234","2026-08-10T18:51:36.4033199Z","INCLUDE"
"Ear","Medicine","File:Blausen 0329 EarAnatomy InternalEar.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 .","https://commons.wikimedia.org/wiki/File:Blausen_0329_EarAnatomy_InternalEar.png","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Blausen_0329_EarAnatomy_InternalEar.png/1920px-Blausen_0329_EarAnatomy_InternalEar.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","f26d24f4148ef36dfc0613764a4c56563f2e4073","f26d24f4148ef36dfc0613764a4c56563f2e4073","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/4/b/3/Blausen_0329_EarAnatomy_InternalEar.png","1978359","2026-08-10T18:51:36.9207303Z","INCLUDE"
"Ear","Medicine","File:Blausen 0330 EarAnatomy MiddleEar.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 .","https://commons.wikimedia.org/wiki/File:Blausen_0330_EarAnatomy_MiddleEar.png","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Blausen_0330_EarAnatomy_MiddleEar.png/1920px-Blausen_0330_EarAnatomy_MiddleEar.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","7548d4c5818f8a2a44b235ee1cc3ec7f1b249c68","7548d4c5818f8a2a44b235ee1cc3ec7f1b249c68","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/1/5/d/Blausen_0330_EarAnatomy_MiddleEar.png","1741644","2026-08-10T18:51:36.9207303Z","INCLUDE"
"Kidney","Medicine","File:Blausen 0592 KidneyAnatomy 01.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 .","https://commons.wikimedia.org/wiki/File:Blausen_0592_KidneyAnatomy_01.png","https://upload.wikimedia.org/wikipedia/commons/d/d6/Blausen_0592_KidneyAnatomy_01.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","5ec2a0b034ffe614abc9bce424bc61ddc705362d","5ec2a0b034ffe614abc9bce424bc61ddc705362d","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/6/0/e/Blausen_0592_KidneyAnatomy_01.png","1225557","2026-08-10T18:51:38.9614160Z","INCLUDE"
"Human digestive system","Medicine","File:Blausen 0780 SalivaryGlands.png","CC BY 3.0","BruceBlaus . When using this image in external sources it can be cited as: Blausen.com staff (2014). "" Medical gallery of Blausen Medical 2014 "". WikiJournal of Medicine 1 (2). DOI : 10.15347/wjm/2014.010 . ISSN 2002-4436 .","https://commons.wikimedia.org/wiki/File:Blausen_0780_SalivaryGlands.png","https://upload.wikimedia.org/wikipedia/commons/d/df/Blausen_0780_SalivaryGlands.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","a980d5d6d42861126bad69b03d6a2762c5451564","a980d5d6d42861126bad69b03d6a2762c5451564","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/f/4/8/Blausen_0780_SalivaryGlands.png","1043516","2026-08-10T18:51:37.7633412Z","INCLUDE"
"Bleeding","Medicine","File:Bleeding finger.jpg","CC BY 2.0","Crystal (Crystl) from Bloomington, USA","https://commons.wikimedia.org/wiki/File:Bleeding_finger.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bleeding%20finger.jpg","566d0ef16ea27437c45285eebf4d8e05149e4dc9","566d0ef16ea27437c45285eebf4d8e05149e4dc9","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/e/6/9/b/Bleeding_finger.jpg","850238","2026-08-10T18:52:00.8470107Z","INCLUDE"
"Conjunctivitis","Medicine","File:Bloodshot eye.jpg","CC BY-SA 2.0","","https://commons.wikimedia.org/wiki/File:Bloodshot_eye.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bloodshot%20eye.jpg","88d06f69dfcc4ca3ed2cf37776863c765c011110","88d06f69dfcc4ca3ed2cf37776863c765c011110","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/8/b/b/Bloodshot_eye.jpg","148587","2026-08-10T18:52:00.8510419Z","EXCLUDE_MISSING_CREDIT"
"Anatomical terminology","Medicine","File:Body Movements I.jpg","CC BY-SA 3.0","Tonye Ogele CNX","https://commons.wikimedia.org/wiki/File:Body_Movements_I.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Body_Movements_I.jpg/1920px-Body_Movements_I.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","619024c8facab9b35a8593fb3b9ef215ccfdf7e0","619024c8facab9b35a8593fb3b9ef215ccfdf7e0","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/5/9/6/Body_Movements_I.jpg","396108","2026-08-10T18:51:36.4016567Z","INCLUDE"
"Anatomical terminology","Medicine","File:Body Movements II.jpg","CC BY 4.0","Tonye Ogele CNX","https://commons.wikimedia.org/wiki/File:Body_Movements_II.jpg","https://upload.wikimedia.org/wikipedia/commons/b/bc/Body_Movements_II.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","8782cf72dca7895dd21c9c591f4411c0aa148ec5","8782cf72dca7895dd21c9c591f4411c0aa148ec5","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/b/c/0/5/Body_Movements_II.jpg","1168528","2026-08-10T18:51:36.9248601Z","INCLUDE"
"Lyme disease","Medicine","File:Borrelia burgdorferi-cropped.jpg","Public domain","Photo Credit: Content Providers(s): CDC","https://commons.wikimedia.org/wiki/File:Borrelia_burgdorferi-cropped.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Borrelia%20burgdorferi-cropped.jpg","de788328ccb0e8c3d060d5d4305fd0f330c537fc","de788328ccb0e8c3d060d5d4305fd0f330c537fc","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/5/e/5/Borrelia_burgdorferi-cropped.jpg","99266","2026-08-10T18:52:01.2415303Z","INCLUDE"
"Human brain","Medicine","File:Brain autopsy lateral view.jpg","CC BY-SA 4.0","Jensflorian","https://commons.wikimedia.org/wiki/File:Brain_autopsy_lateral_view.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Brain_autopsy_lateral_view.jpg/1920px-Brain_autopsy_lateral_view.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","ad82b4baf49e855a622652e9e73ac1bc37e817bd","ad82b4baf49e855a622652e9e73ac1bc37e817bd","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/9/9/6/Brain_autopsy_lateral_view.jpg","397350","2026-08-10T18:51:37.7612645Z","INCLUDE"
"Respiratory system","Medicine","File:Breathing in fish.jpg","CC BY-SA 4.0","Cruithne9","https://commons.wikimedia.org/wiki/File:Breathing_in_fish.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Breathing_in_fish.jpg/1920px-Breathing_in_fish.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","ef34e3eccf3ad9e11e85549f5b2865e0dbfa1e5b","ef34e3eccf3ad9e11e85549f5b2865e0dbfa1e5b","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/b/2/5/a/Breathing_in_fish.jpg","250897","2026-08-10T18:51:39.4390790Z","INCLUDE"
"Bone fracture","Medicine","File:Broken fixed arm.jpg","Public domain","Sjbrown at English Wikipedia","https://commons.wikimedia.org/wiki/File:Broken_fixed_arm.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d5/Broken_fixed_arm.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","137fd1e921c7ca8302e1ab1f5bfbf6913a52d9da","137fd1e921c7ca8302e1ab1f5bfbf6913a52d9da","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/5/a/9/Broken_fixed_arm.jpg","70028","2026-08-10T18:51:37.2837723Z","INCLUDE"
"Spider bite","Medicine","File:BrownRecuse1.jpg","Public domain","CDC","https://commons.wikimedia.org/wiki/File:BrownRecuse1.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/BrownRecuse1.jpg","0958df0c7db7bb8ef80443fb63876f650473951b","0958df0c7db7bb8ef80443fb63876f650473951b","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/4/7/f/2/BrownRecuse1.jpg","55621","2026-08-10T18:52:02.1291766Z","INCLUDE"
"Impetigo","Medicine","File:Bullous impetigo1.jpg","CC BY-SA 4.0","Littlekidsdoc","https://commons.wikimedia.org/wiki/File:Bullous_impetigo1.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bullous%20impetigo1.jpg","6b2cd54966c69680fe02476b34f0996f6222b283","6b2cd54966c69680fe02476b34f0996f6222b283","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/6/0/b/c/Bullous_impetigo1.jpg","1318037","2026-08-10T18:52:01.2415303Z","INCLUDE"
"Burn","Medicine","File:Burn Degree Diagram.svg","CC BY-SA 3.0","The original uploader was K. Aainsqatsi at English Wikipedia . ( Original text: K. Aainsqatsi )","https://commons.wikimedia.org/wiki/File:Burn_Degree_Diagram.svg","https://upload.wikimedia.org/wikipedia/commons/9/93/Burn_Degree_Diagram.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","740a523ba11f1c4b400577f2594e6478ba9a168c","740a523ba11f1c4b400577f2594e6478ba9a168c","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/9/3/e/0/Burn_Degree_Diagram.svg","473730","2026-08-10T18:51:37.2837723Z","INCLUDE"
"Crankshaft","Engineering","File:Cad crank.jpg","CC BY-SA 3.0","Freeformer","https://commons.wikimedia.org/wiki/File:Cad_crank.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Cad_crank.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","664bf493128d098a953c39105dd590889fd41a15","664bf493128d098a953c39105dd590889fd41a15","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/c/e/8/Cad_crank.jpg","49417","2026-08-10T18:51:39.8363021Z","INCLUDE"
"Human brain","Medicine","File:CajalCerebellum.jpg","Public domain","Santiago Ramón","https://commons.wikimedia.org/wiki/File:CajalCerebellum.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6f/CajalCerebellum.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","a88ff8e93ea23f4dad66d7b1373e130897372fa5","a88ff8e93ea23f4dad66d7b1373e130897372fa5","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/6/f/2/3/CajalCerebellum.jpg","100280","2026-08-10T18:51:37.7612645Z","INCLUDE"
"Bicycle maintenance","Engineering","File:Campagnolo 1968 Tool Kit Wooden Box.jpg","CC BY 2.0","Italian_Bicycles","https://commons.wikimedia.org/wiki/File:Campagnolo_1968_Tool_Kit_Wooden_Box.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Campagnolo%201968%20Tool%20Kit%20Wooden%20Box.jpg","19d12c086ac4b8231be3fb565bc3bd4f9ebdc261","19d12c086ac4b8231be3fb565bc3bd4f9ebdc261","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/f/7/9/Campagnolo_1968_Tool_Kit_Wooden_Box.jpg","1514343","2026-08-10T18:52:02.1331928Z","INCLUDE"
"Sanitation","Public health","File:Canteen kitchen.jpg","Public domain","The original uploader was Lupo at English Wikipedia . ( Original text: California Department of Correction and Rehabilitation )","https://commons.wikimedia.org/wiki/File:Canteen_kitchen.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1c/Canteen_kitchen.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","af5cf79a7e6640eec48d55be00c20bd9c2442fa4","af5cf79a7e6640eec48d55be00c20bd9c2442fa4","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/c/5/e/Canteen_kitchen.jpg","14005","2026-08-10T18:51:39.8342931Z","INCLUDE"
"Circulatory system","Medicine","File:Capillary system CERT.jpg","Public domain","Community Emergency Response Team","https://commons.wikimedia.org/wiki/File:Capillary_system_CERT.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f6/Capillary_system_CERT.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","d385ad1ee48adcbebf053db8bf38721242e7df39","d385ad1ee48adcbebf053db8bf38721242e7df39","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/f/6/9/a/Capillary_system_CERT.jpg","81911","2026-08-10T18:51:36.9126351Z","INCLUDE"
"Airway management","Medicine","File:Catheter Introducing Forceps 01.jpg","CC BY-SA 3.0","AfroBrazilian","https://commons.wikimedia.org/wiki/File:Catheter_Introducing_Forceps_01.jpg","https://upload.wikimedia.org/wikipedia/commons/8/88/Catheter_Introducing_Forceps_01.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","acce64b49c21631e9a2ae6dfa624f1d8ec92f6fe","acce64b49c21631e9a2ae6dfa624f1d8ec92f6fe","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/8/8/d/4/Catheter_Introducing_Forceps_01.jpg","178845","2026-08-10T18:51:36.9248601Z","INCLUDE"
"Cellulitis","Medicine","File:Cellulitis of lower leg and foot.jpg","CC BY-SA 4.0","cbinrva","https://commons.wikimedia.org/wiki/File:Cellulitis_of_lower_leg_and_foot.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Cellulitis%20of%20lower%20leg%20and%20foot.jpg?width=2400","7bc940b2f56c250673ee39d6a8a0e1a728bb5a29","7bc940b2f56c250673ee39d6a8a0e1a728bb5a29","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/f/8/2/Cellulitis_of_lower_leg_and_foot.jpg","1881430","2026-08-10T18:52:00.8470107Z","INCLUDE"
"Cellulitis","Medicine","File:Cellulitis3.jpg","CC BY-SA 3.0","RafaelLopez","https://commons.wikimedia.org/wiki/File:Cellulitis3.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Cellulitis3.jpg","4798e3cb5f629354ab338f9406c1230c7af2346d","4798e3cb5f629354ab338f9406c1230c7af2346d","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/6/0/1/8/Cellulitis3.jpg","276704","2026-08-10T18:52:00.8470107Z","INCLUDE"
"Cellulitis","Medicine","File:CellulitisJmh649.JPG","CC BY-SA 3.0","James Heilman, MD","https://commons.wikimedia.org/wiki/File:CellulitisJmh649.JPG","https://commons.wikimedia.org/wiki/Special:Redirect/file/CellulitisJmh649.JPG?width=2400","27d5d1bf9f77dee6fcdcba836c5138aeb1afaa01","27d5d1bf9f77dee6fcdcba836c5138aeb1afaa01","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/4/6/3/5/CellulitisJmh649.JPG","1450621","2026-08-10T18:52:00.8470107Z","INCLUDE"
"Carpentry","Construction","File:Centre Pompidou-Metz - Montage de la charpente en bois et des pièces de fixation de la toile.JPG","CC BY-SA 3.0","MOSSOT","https://commons.wikimedia.org/wiki/File:Centre_Pompidou-Metz_-_Montage_de_la_charpente_en_bois_et_des_pi%C3%A8ces_de_fixation_de_la_toile.JPG","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Centre_Pompidou-Metz_-_Montage_de_la_charpente_en_bois_et_des_pi%C3%A8ces_de_fixation_de_la_toile.JPG/1920px-Centre_Pompidou-Metz_-_Montage_de_la_charpente_en_bois_et_des_pi%C3%A8ces_de_fixation_de_la_toile.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","cdbe182150e182effdb02cdc76a3d42b4f54cc06","cdbe182150e182effdb02cdc76a3d42b4f54cc06","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/7/d/7/8/Centre_Pompidou-Metz_-_Montage_de_la_charpente_en_bois_et_des_pièces_de_fixation_de_la_toile.JPG","1636980","2026-08-10T18:52:00.4764038Z","INCLUDE"
"Heart","Medicine","File:Cephalopod systemic heart.svg","CC0","Tgru001","https://commons.wikimedia.org/wiki/File:Cephalopod_systemic_heart.svg","https://upload.wikimedia.org/wikipedia/commons/6/69/Cephalopod_systemic_heart.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","ed51650098bad2ad5086085da155fe8306b58d15","ed51650098bad2ad5086085da155fe8306b58d15","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/6/9/a/6/Cephalopod_systemic_heart.svg","19966","2026-08-10T18:51:37.2922744Z","INCLUDE"
"Radiography","Medicine","File:Cerebral angiography, arteria vertebralis sinister injection.JPG","Public domain","Lipothymia","https://commons.wikimedia.org/wiki/File:Cerebral_angiography,_arteria_vertebralis_sinister_injection.JPG","https://commons.wikimedia.org/wiki/Special:Redirect/file/Cerebral%20angiography%2C%20arteria%20vertebralis%20sinister%20injection.JPG","2a9f0e4ec11be826ae0aab81e6c79d35cd266b05","2a9f0e4ec11be826ae0aab81e6c79d35cd266b05","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/0/3/d/Cerebral_angiography,_arteria_vertebralis_sinister_injection.JPG","79584","2026-08-10T18:52:01.7506589Z","INCLUDE"
"Carpentry","Construction","File:Cervo100.jpg","CC BY 3.0","Georges Jansoone ( JoJan )","https://commons.wikimedia.org/wiki/File:Cervo100.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Cervo100.jpg/1920px-Cervo100.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","13c084fb4b7768a9cbd2a93ce76c8784a5443d27","13c084fb4b7768a9cbd2a93ce76c8784a5443d27","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/f/d/e/f/Cervo100.jpg","890047","2026-08-10T18:52:00.4764038Z","INCLUDE"
"Chain drive","Engineering","File:Chain.gif","Public domain","Occupational Safety & Health Administration (OSHA) part of the U.S. Department of Labor","https://commons.wikimedia.org/wiki/File:Chain.gif","https://commons.wikimedia.org/wiki/Special:Redirect/file/Chain.gif","f9fb11067371a5a72d4963b0fb77bc007942479e","f9fb11067371a5a72d4963b0fb77bc007942479e","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/0/3/8/6/Chain.gif","87405","2026-08-10T18:52:02.5351589Z","INCLUDE"
"Nervous system","Medicine","File:Chemical synapse schema cropped.jpg","Public domain","user:Looie496 created file; Illustrator: Christy Krames, MA, CMI, for US National Institutes of Health, National Institute on Aging","https://commons.wikimedia.org/wiki/File:Chemical_synapse_schema_cropped.jpg","https://upload.wikimedia.org/wikipedia/commons/3/30/Chemical_synapse_schema_cropped.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","2f981120608ca5e7ac97a5721ee68d1da7aaabbc","2f981120608ca5e7ac97a5721ee68d1da7aaabbc","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/0/6/d/Chemical_synapse_schema_cropped.jpg","145012","2026-08-10T18:51:39.0072110Z","INCLUDE"
"Cardiopulmonary resuscitation","Medicine","File:Chest compressions.gif","CC BY 3.0","Video by Bangkok Hospital Phuket Segment extracted and converted by Mikael Häggström","https://commons.wikimedia.org/wiki/File:Chest_compressions.gif","https://upload.wikimedia.org/wikipedia/commons/d/df/Chest_compressions.gif?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","70cd6966eb5006c410b8ec85aff6fd646a33c364","70cd6966eb5006c410b8ec85aff6fd646a33c364","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/f/6/8/Chest_compressions.gif","339137","2026-08-10T18:51:36.4043538Z","INCLUDE"
"Human skull","Medicine","File:Chimpanzee skull.jpg","CC BY 3.0","Pastorius","https://commons.wikimedia.org/wiki/File:Chimpanzee_skull.jpg","https://upload.wikimedia.org/wikipedia/commons/5/55/Chimpanzee_skull.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","0de17f6016a02f05a0541417bfab1bc573f38a8f","0de17f6016a02f05a0541417bfab1bc573f38a8f","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/5/5/0/a/Chimpanzee_skull.jpg","1940519","2026-08-10T18:51:38.3942744Z","INCLUDE"
